Entity,Code,Year,"Scarcity-weighted water use per 100g protein (Poore & Nemecek, 2018)"
Apples,,2010,431620
Bananas,,2010,7354.444444
Beef (beef herd),,2010,17418.50552
Beef (dairy herd),,2010,60691.59068
Berries & Grapes,,2010,211621
Brassicas,,2010,76864.54545
Cheese,,2010,81906.97464
Citrus Fruit,,2010,77711.66667
Coffee,,2010,421.25
Dark Chocolate,,2010,5758.4
Eggs,,2010,16206.4708
Fish (farmed),,2010,18229.42337
Groundnuts,,2010,23605.00382
Lamb & Mutton,,2010,70927.03648
Maize,,2010,11435.05263
Milk,,2010,59958.48485
Nuts,,2010,140777.5873
Oatmeal,,2010,14450.92308
Onions & Leeks,,2010,7169.230769
Other Pulses,,2010,10498.55208
Peas,,2010,12577.94779
Pig Meat,,2010,41327.19407
Potatoes,,2010,16201.17647
Poultry Meat,,2010,8185.854503
Prawns (farmed),,2010,86160.46039
Rice,,2010,69825.77465
Root Vegetables,,2010,9292
Tofu (soybeans),,2010,3195.75
Tomatoes,,2010,48506.36364
Wheat & Rye,,2010,27365.2459