Entity,Code,Year,"Scarcity-weighted water use per 1000kcal (Poore & Nemecek, 2018)"
Apples,,2010,26976.25
Bananas,,2010,1103.166667
Barley,,2010,139.28
Beef (beef herd),,2010,12722.52747
Beef (dairy herd),,2010,43884.68864
Beet Sugar,,2010,2704.643875
Berries & Grapes,,2010,37126.49123
Brassicas,,2010,49735.88235
Cane Sugar,,2010,4683.361823
Cheese,,2010,46731.42119
Citrus Fruit,,2010,14570.9375
Coffee,,2010,601.7857143
Dark Chocolate,,2010,556.9052224
Eggs,,2010,12487.98611
Fish (farmed),,2010,23224.69274
Groundnuts,,2010,10654.81034
Lamb & Mutton,,2010,44771.29338
Maize,,2010,2402.056385
Milk,,2010,32977.16667
Nuts,,2010,37380.45528
Oatmeal,,2010,7162.104461
Olive Oil,,2010,20076.9457
Onions & Leeks,,2010,2518.918919
Palm Oil,,2010,4.095022624
Pig Meat,,2010,27977.99163
Potatoes,,2010,3762.568306
Poultry Meat,,2010,7663.72973
Prawns (farmed),,2010,123552.4272
Rapeseed Oil,,2010,1198.382353
Rice,,2010,13449.89148
Root Vegetables,,2010,2511.351351
Sunflower Oil,,2010,4114.18552
Tofu (soybeans),,2010,1886.789668
Tomatoes,,2010,28082.63158
Wheat & Rye,,2010,12479.05866